train_iou_score_step,train_f1_score_step,train_accuracy_step,train_recall_step,train_loss,epoch,step,valid_iou_score,valid_f1_score,valid_accuracy,valid_recall,valid_loss,train_iou_score_epoch,train_f1_score_epoch,train_accuracy_epoch,train_recall_epoch,test_iou_score,test_f1_score,test_accuracy,test_recall,test_loss
0.9953347444534302,0.9976618885993958,0.9976619482040405,0.9976333379745483,0.3347087001225469,0,49,,,,,,,,,,,,,,
,,,,,0,91,0.9945305585861206,0.9972564578056335,0.9972566962242126,0.9971893429756165,0.3232837796652948,,,,,,,,,
,,,,,0,91,,,,,,0.9592074751853943,0.9739046096801758,0.9785434007644653,0.9663313627243042,,,,,
0.9987278580665588,0.9993635416030884,0.9993635416030884,0.9994145631790161,0.3208212009985243,1,99,,,,,,,,,,,,,,
0.9971291422843933,0.9985625147819519,0.9985625743865967,0.9985176920890808,0.318440334402409,1,149,,,,,,,,,,,,,,
,,,,,1,183,0.9970664978027344,0.9985305070877075,0.9985305666923523,0.9984853267669678,0.31730644359179955,,,,,,,,,
,,,,,1,183,,,,,,0.9964953064918518,0.998244047164917,0.9982441067695618,0.9982092380523682,,,,,
0.9972831606864929,0.9986397624015808,0.9986397624015808,0.9986073970794678,0.31703728357403016,2,199,,,,,,,,,,,,,,
0.998404324054718,0.9992015361785889,0.9992015361785889,0.9991754293441772,0.31592030602635585,2,249,,,,,,,,,,,,,,
,,,,,2,275,0.9977959394454956,0.9988963603973389,0.9988963603973389,0.9988869428634644,0.3156496961700665,,,,,,,,,
,,,,,2,275,,,,,,0.9974818229675293,0.998738706111908,0.9987387657165527,0.9987152218818665,,,,,
0.9984889030456543,0.9992439150810242,0.9992439150810242,0.9992177486419678,0.31524949344035413,3,299,,,,,,,,,,,,,,
0.9973726868629456,0.9986845850944519,0.9986846446990967,0.9986696839332581,0.3155465444073417,3,349,,,,,,,,,,,,,,
,,,,,3,367,0.9976751804351807,0.9988355040550232,0.9988355040550232,0.9988248348236084,0.3152633721768962,,,,,,,,,
,,,,,3,367,,,,,,0.9979068636894226,0.9989522099494934,0.9989522099494934,0.9989379644393921,,,,,
0.9991583228111267,0.9995790123939514,0.9995789527893066,0.9995814561843872,0.3144320147527038,4,399,,,,,,,,,,,,,,
0.9977405071258545,0.9988689422607422,0.9988689422607422,0.9988540410995483,0.3150551258022831,4,449,,,,,,,,,,,,,,
,,,,,4,459,0.9981765747070312,0.999086856842041,0.999086856842041,0.999083936214447,0.31470296431852596,,,,,,,,,
,,,,,4,459,,,,,,0.9982849955558777,0.9991415739059448,0.9991415739059448,0.999130129814148,,,,,
0.997601330280304,0.9987992644309998,0.998799204826355,0.9988067150115967,0.31492167643539554,5,499,,,,,,,,,,,,,,
0.9985536336898804,0.9992762804031372,0.9992762804031372,0.9992800354957581,0.3143891287862581,5,549,,,,,,,,,,,,,,
,,,,,5,551,0.9976324439048767,0.9988142251968384,0.9988141655921936,0.9988105893135071,0.31478807153303645,,,,,,,,,
,,,,,5,551,,,,,,0.998511552810669,0.9992551207542419,0.9992551207542419,0.9992528557777405,,,,,
0.9985984563827515,0.9992987513542175,0.9992986917495728,0.9993223547935486,0.3143101063278849,6,599,,,,,,,,,,,,,,
,,,,,6,643,0.9983891248703003,0.9991933107376099,0.9991934299468994,0.9991915225982666,0.3143581918604228,,,,,,,,,
,,,,,6,643,,,,,,0.9988059401512146,0.9994024634361267,0.9994024634361267,0.999403715133667,,,,,
0.9983372688293457,0.9991679191589355,0.9991679191589355,0.9991679191589355,0.3143576899619431,7,649,,,,,,,,,,,,,,
0.9992753267288208,0.9996375441551208,0.9996374845504761,0.9996461868286133,0.313914762985238,7,699,,,,,,,,,,,,,,
,,,,,7,735,0.9986708760261536,0.9993346929550171,0.9993346929550171,0.9993367791175842,0.31415958764414825,,,,,,,,,
,,,,,7,735,,,,,,0.9989978075027466,0.9994986653327942,0.9994986653327942,0.9995024800300598,,,,,
0.9991209506988525,0.9995602965354919,0.9995602965354919,0.9995565414428711,0.31394397751931563,8,749,,,,,,,,,,,,,,
0.9982576966285706,0.9991281032562256,0.9991281032562256,0.9991354942321777,0.31435616499918384,8,799,,,,,,,,,,,,,,
,,,,,8,827,0.9986366033554077,0.9993173480033875,0.9993173480033875,0.9993215203285217,0.31414671406091654,,,,,,,,,
,,,,,8,827,,,,,,0.9991243481636047,0.9995620250701904,0.9995620250701904,0.9995652437210083,,,,,
0.9991956353187561,0.9995976686477661,0.9995976686477661,0.9996039271354675,0.3138647987872566,9,849,,,,,,,,,,,,,,
0.9995591640472412,0.9997795224189758,0.9997795224189758,0.9997707605361938,0.31366717570986385,9,899,,,,,,,,,,,,,,
,,,,,9,919,0.9987730979919434,0.9993858337402344,0.9993858337402344,0.999390184879303,0.3140425939105114,,,,,,,,,
,,,,,9,919,,,,,,0.9992348551750183,0.9996172189712524,0.9996170997619629,0.9996215105056763,,,,,
,,,,,10,920,,,,,,,,,,0.9985476136207581,0.9992730617523193,0.9992730617523193,0.9992749094963074,0.3141550055590356
